Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
handball,france,division-1-women,Havre W - Brest Bretagne W,6,5,200,44,3145,4,2,74531,143,74395,7,4.75,10.94,1.24,0,0,1,2,0.7531529719916347,-0.27537631137655405
soccer,europe,euro-u17,Slovenia U17 - France U17&nbsp;,9,8,196,40,2171,7,2,46618,19,46604,5,7.7,5.71,1.27,0,0,0,2,0.7287671294067402,-0.2757990579757037
soccer,italy,serie-d-group-i,Vibonese - Paceco,9,8,220,64,2356,14,1,52152,8,0,0,1.87,3.42,3.53,0,0,0,1,0.40634026758656355,-0.27602724093462766
soccer,croatia,croatian-cup,NK Zagreb - Lok. Zagreb,9,8,185,29,2102,2,2,43895,12,43889,6,10.68,6.98,1.16,0,1,0,2,0.8236181841413476,-0.27876816497523094
soccer,serbia,serbian-cup,Mladost - Proleter,9,8,272,116,2567,2,1,59663,5,59701,13,1.36,4.55,6.59,0,1,0,1,0.6606680202824564,-0.28192081226627547
volleyball,iran,super-league,Ardakan Arman - Sarmayeh Bank,2,1,216,60,3730,0,2,85659,6,85654,1,8.2,0.0,1.08,0,0,0,2,0.9048216169053622,-0.2849081717776089
soccer,poland,iii-liga-group-i-2017-2018,Polonia Warszawa - Swit,9,8,262,106,0,-1,1,0,0,0,0,1.61,3.5,4.78,0,0,0,1,0.5105563529124779,-0.2918102816572303
soccer,ukraine,ukrainian-cup,Dnipro-1 - Ch. Odessa,9,8,295,139,2702,4,2,0,0,46313,74,5.22,3.69,1.58,0,1,0,2,0.5246864235775527,-0.294819742668046
soccer,europe,euro-u17,Scotland U17 - Estonia U17&nbsp;,9,8,196,40,2171,7,1,46612,13,46641,42,1.24,6.05,8.44,0,0,0,1,0.7491160745123224,-0.29623361501966755
soccer,philippines,pfl,Stallion - Ceres,9,8,261,105,2496,0,2,57459,4,57456,1,5.46,4.76,1.39,0,0,0,2,0.6361294866702106,-0.29687182956001873
soccer,lithuania,a-lyga,Trakai - Jonava,9,8,234,78,2409,0,1,55056,14,55099,6,1.21,5.39,10.23,0,0,0,1,0.7739428693552773,-0.3025196575243546
soccer,turkey,turkish-cup,Osmanlispor - Karagumruk,9,8,292,136,2685,18,1,46267,28,63621,10,1.21,6.69,8.29,0,1,0,1,0.7731109561308248,-0.3073130622938189
