Season,Participants,Best Odd,Your Bet,Winning Bet
2009,Rangers - Hamilton&nbsp;,1.17,1,0
2009,Forfar Athletic - St Johnstone&nbsp;,1.29,2,2
2009,Ross County - Inverurie Loco Works&nbsp;,1.16,1,1
2009,Hamilton - Rangers&nbsp;,1.28,2,0
2009,Dunfermline - Stenhousemuir&nbsp;,1.38,1,1
2009,Hibernian - Irvine Meadow&nbsp;,1.06,1,1
2009,St. Mirren - Alloa&nbsp;,1.25,1,1
2009,Livingston - Clyde&nbsp;,1.41,1,1
2009,Brechin - Wick Academy&nbsp;,1.15,1,1
2009,Stenhousemuir - Cove Rangers&nbsp;,1.42,1,1
2009,Stirling - Auchinleck Talbot&nbsp;,1.25,1,1
2009,Wick Academy - Brechin&nbsp;,1.38,2,0
2008,Rangers - Falkirk&nbsp;,1.27,1,1
2008,Rangers - St. Mirren&nbsp;,1.31,1,1
2008,Aberdeen - Dunfermline&nbsp;,1.4,1,0
2008,Rangers - Hamilton&nbsp;,1.22,1,1
2008,St. Mirren - Celtic&nbsp;,1.38,2,1
2008,Forfar Athletic - Rangers&nbsp;,1.08,2,2
2008,Aberdeen - East Fife&nbsp;,1.19,1,1
2008,Celtic - Queen's Park&nbsp;,1.06,1,1
2008,Inverurie Loco Works - Motherwell&nbsp;,1.18,2,2
2008,Kilmarnock - Ayr&nbsp;,1.36,1,1
2008,St Johnstone - Rangers&nbsp;,1.36,2,2
2008,Forfar Athletic - Forres Mechanics&nbsp;,1.41,1,1
2008,East Stirlingshire - Dundee Utd&nbsp;,1.23,2,2
2008,Airdrieonians - Spartans&nbsp;,1.29,1,1
2008,Alloa - Aberdeen&nbsp;,1.32,2,2
2008,Celtic - Dundee FC&nbsp;,1.14,1,1
2008,Ayr - Lochee United&nbsp;,1.17,1,1
2008,Lochee United - Ayr&nbsp;,1.26,2,0
2008,Dalbeattie Star - Forres Mechanics&nbsp;,1.44,1,0
2008,Inverurie Loco Works - Vale Of Leithen&nbsp;,1.39,1,1
2008,Edinburgh City - Brechin&nbsp;,1.36,2,2
2008,Ross County - Dumbarton&nbsp;,1.37,1,0
2008,Rangers - Falkirk&nbsp;,1.27,1,1
2008,Rangers - St. Mirren&nbsp;,1.31,1,1
2008,Aberdeen - Dunfermline&nbsp;,1.4,1,0
2008,Rangers - Hamilton&nbsp;,1.22,1,1
2008,St. Mirren - Celtic&nbsp;,1.38,2,1
2008,Forfar Athletic - Rangers&nbsp;,1.08,2,2
2008,Aberdeen - East Fife&nbsp;,1.19,1,1
2008,Celtic - Queen's Park&nbsp;,1.06,1,1
2008,Inverurie Loco Works - Motherwell&nbsp;,1.18,2,2
2008,Kilmarnock - Ayr&nbsp;,1.36,1,1
2008,St Johnstone - Rangers&nbsp;,1.36,2,2
2008,Forfar Athletic - Forres Mechanics&nbsp;,1.41,1,1
2008,East Stirlingshire - Dundee Utd&nbsp;,1.23,2,2
2008,Airdrieonians - Spartans&nbsp;,1.29,1,1
2008,Alloa - Aberdeen&nbsp;,1.32,2,2
2008,Celtic - Dundee FC&nbsp;,1.14,1,1
2008,Ayr - Lochee United&nbsp;,1.17,1,1
2008,Lochee United - Ayr&nbsp;,1.26,2,0
2008,Dalbeattie Star - Forres Mechanics&nbsp;,1.44,1,0
2008,Inverurie Loco Works - Vale Of Leithen&nbsp;,1.39,1,1
2008,Edinburgh City - Brechin&nbsp;,1.36,2,2
2008,Ross County - Dumbarton&nbsp;,1.37,1,0
2007,Queen of South - Rangers,1.27,2,2
2007,St Johnstone - Rangers,1.29,2,0
2007,Partick - Rangers&nbsp;,1.24,2,2
2007,Rangers - Partick,1.09,1,0
2007,Celtic - Aberdeen&nbsp;,1.24,1,2
2007,Rangers - Hibernian&nbsp;,1.32,1,1
2007,Aberdeen - Hamilton,1.44,1,1
2007,Kilmarnock - Celtic,1.38,2,2
2007,Gretna - Morton&nbsp;,1.5,1,2
2007,Rangers - East Stirlingshire,1.02,1,1
2007,Huntly - Dundee FC,1.35,2,2
2007,Celtic - Stirling,1.05,1,1
2007,Hamilton - Brechin,1.3,1,0
2007,Queen of South - Linlithgow Rose,1.22,1,1
2007,St. Mirren - Dumbarton,1.16,1,1
2007,Ross County - Whitehill Welfare,1.23,1,1
2007,Threave Rovers - Raith,1.33,2,2
2007,Queen of South - Rangers,1.27,2,2
2007,St Johnstone - Rangers,1.29,2,0
2007,Partick - Rangers&nbsp;,1.24,2,2
2007,Rangers - Partick,1.09,1,0
2007,Celtic - Aberdeen&nbsp;,1.24,1,2
2007,Rangers - Hibernian&nbsp;,1.32,1,1
2007,Aberdeen - Hamilton,1.44,1,1
2007,Kilmarnock - Celtic,1.38,2,2
2007,Gretna - Morton&nbsp;,1.5,1,2
2007,Rangers - East Stirlingshire,1.02,1,1
2007,Huntly - Dundee FC,1.35,2,2
2007,Celtic - Stirling,1.05,1,1
2007,Hamilton - Brechin,1.3,1,0
